obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.010728675346037303,-38.7994499206543,4.587617874145508,0.716171383857727,0.6322649717330933,-38.69930648803711,4.5853705406188965,0.5547806024551392,0.7875896096229553,-25.872690200805664,0.45962098240852356,0.7731467485427856,955.375,64.0,-476.65789794921875,-476.65789794921875,141.5492193698883,64.0,31,62000,438.010186675669,38.045135498046875,2.4017419815063477,0.2712937593460083
0.0,0.9999999403953552,0.010517278057089798,-39.142154693603516,4.390040874481201,0.5321983098983765,0.7671078443527222,-39.034271240234375,4.3911824226379395,0.4465956687927246,0.8203510642051697,-26.285579681396484,0.46010005474090576,0.7743552327156067,977.4307692307692,65.0,-480.6556091308594,-480.6556091308594,146.20584201812744,65.0,32,64000,437.73900629815404,38.40717315673828,1.491014838218689,0.27909618616104126
0.0,0.9999999403953552,0.009907751681525063,-39.48417663574219,4.469816207885742,0.3112938404083252,0.8950622081756592,-39.35398864746094,4.4928812980651855,-0.04037923365831375,0.9578236937522888,-26.65870475769043,0.45282304286956787,0.7798457741737366,966.8529411764706,68.0,-474.3223571777344,-474.3223571777344,150.89816045761108,68.0,33,66000,437.38107740909214,38.64269256591797,2.2395269870758057,0.1783376932144165
0.0,0.9999999403953552,0.010106897490323717,-39.55042266845703,4.644820690155029,0.3133808970451355,0.907394528388977,-39.371795654296875,4.634366035461426,0.35929951071739197,0.8674979209899902,-27.011491775512695,0.45064860582351685,0.7824534177780151,941.125,72.0,-464.8108825683594,-464.8108825683594,155.49994039535522,72.0,34,68000,437.29920299076304,38.705841064453125,1.5966038703918457,0.1714838445186615
0.0,0.9999999403953552,0.009907751681525063,-39.33563232421875,4.568666934967041,0.3010827302932739,0.8853117823600769,-39.23164367675781,4.5381975173950195,0.302031546831131,0.8962705731391907,-27.320114135742188,0.4387894868850708,0.7903149724006653,934.1232876712329,73.0,-461.2830810546875,-461.2830810546875,159.87456703186035,73.0,35,70000,437.84324986506556,38.95844650268555,2.8289220333099365,0.1978120058774948
0.0,0.9999999403953552,0.009712529831903797,-39.54248809814453,3.965330123901367,0.28749382495880127,0.9157237410545349,-39.33574676513672,3.9788222312927246,0.4623074531555176,0.8347753286361694,-27.652368545532227,0.4399166405200958,0.790545642375946,949.8666666666667,75.0,-461.892333984375,-461.892333984375,164.2278573513031,75.0,36,72000,438.415267429224,39.37400817871094,1.4734877347946167,0.258073627948761
0.0,0.9999999403953552,0.009712529831903797,-40.15008544921875,4.142202854156494,0.6925148963928223,0.6160548329353333,-40.03730773925781,4.173611640930176,0.6795809268951416,0.6371558308601379,-27.982322692871094,0.4410819411277771,0.7914531230926514,946.6282051282051,78.0,-461.15008544921875,-461.15008544921875,168.66701555252075,78.0,37,74000,438.7342703467552,39.69451141357422,1.5782313346862793,0.18188458681106567
0.0,0.9999999403953552,0.010517278057089798,-40.1277961730957,4.021191120147705,0.7576982975006104,0.5794596076011658,-39.98548889160156,4.045910358428955,0.6197655200958252,0.7310142517089844,-28.263519287109375,0.4492500126361847,0.7880006432533264,946.5125,80.0,-457.885498046875,-457.885498046875,173.04111433029175,80.0,38,76000,439.2019797961727,39.90830993652344,2.1638543605804443,0.13878270983695984
0.0,0.9999999403953552,0.010310046129879225,-40.19496154785156,3.950624942779541,0.6111803650856018,0.7096906900405884,-40.07986831665039,3.97825026512146,0.6420310735702515,0.6760149598121643,-28.557695388793945,0.4461013078689575,0.7904269099235535,931.060975609756,82.0,-451.28753662109375,-451.28753662109375,177.42626309394836,82.0,39,78000,439.61924598895763,39.839454650878906,1.8888757228851318,0.22583267092704773
0.0,0.9999999403953552,0.009333550263662541,-40.32441711425781,3.990032434463501,0.5672271251678467,0.7663712501525879,-40.2343635559082,4.009561061859131,0.3622119426727295,0.8553060293197632,-28.81478500366211,0.4486183524131775,0.7900304198265076,948.952380952381,84.0,-454.7547912597656,-454.7547912597656,181.88580560684204,84.0,40,80000,439.83641127513374,39.827999114990234,1.298579454421997,0.17118966579437256
